#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Joel Embiid,PHI,68,33.8,30.6,9.8,19.6,49.9,1.4,3.7,37.1,9.6,11.8,81.4,2.1,9.6,11.7,4.2,1.1,1.5,3.1,33.9
2,Giannis Antetokounmpo,MIL,67,32.9,29.9,10.3,18.6,55.3,1.1,3.6,29.3,8.3,11.4,72.2,2.0,9.6,11.6,5.8,1.1,1.4,3.3,35.0
3,Luka Doncic,DAL,65,35.4,28.4,9.9,21.6,45.7,3.1,8.8,35.3,5.6,7.5,74.4,0.9,8.3,9.1,8.7,1.2,0.6,4.5,29.8
4,Trae Young,ATL,76,34.9,28.4,9.4,20.3,46.0,3.1,8.0,38.2,6.6,7.3,90.4,0.7,3.1,3.7,9.7,0.9,0.1,4.0,27.2
5,DeMar DeRozan,CHI,76,36.1,27.9,10.2,20.2,50.4,0.7,1.9,35.2,6.8,7.8,87.7,0.7,4.4,5.2,4.9,0.9,0.3,2.4,25.8
6,Nikola Jokic,DEN,74,33.5,27.1,10.3,17.7,58.3,1.3,3.9,33.7,5.1,6.3,81.0,2.8,11.0,13.8,7.9,1.5,0.9,3.8,38.7
7,Jayson Tatum,BOS,76,35.9,26.9,9.3,20.6,45.3,3.0,8.6,35.3,5.3,6.2,85.3,1.1,6.9,8.0,4.4,1.0,0.6,2.9,25.9
8,Devin Booker,PHX,68,34.5,26.8,9.7,20.9,46.6,2.7,7.0,38.3,4.6,5.3,86.8,0.7,4.4,5.0,4.8,1.1,0.4,2.4,23.9
9,Donovan Mitchell,UTA,67,33.8,25.9,9.2,20.5,44.8,3.5,9.8,35.5,4.0,4.7,85.3,0.8,3.4,4.2,5.3,1.5,0.2,3.0,22.1
10,Stephen Curry,GSW,64,34.5,25.5,8.4,19.1,43.7,4.5,11.7,38.0,4.3,4.7,92.3,0.5,4.7,5.2,6.3,1.3,0.4,3.2,24.4
11,Karl-Anthony Towns,MIN,74,33.4,24.6,8.7,16.4,52.9,2.0,4.9,41.0,5.2,6.3,82.2,2.6,7.2,9.8,3.6,1.0,1.1,3.1,28.2
12,Zach LaVine,CHI,67,34.7,24.4,8.4,17.7,47.6,2.8,7.1,38.9,4.8,5.6,85.3,0.3,4.3,4.6,4.5,0.6,0.3,2.6,21.8
13,Jaylen Brown,BOS,66,33.6,23.6,8.7,18.4,47.3,2.5,7.0,35.8,3.7,4.8,75.8,0.8,5.3,6.1,3.5,1.1,0.3,2.7,21.0
14,De'Aaron Fox,SAC,59,35.3,23.2,8.7,18.5,47.3,1.3,4.2,29.7,4.4,5.9,75.0,0.4,3.5,3.9,5.6,1.2,0.4,2.8,20.2
15,Pascal Siakam,TOR,68,37.9,22.8,8.8,17.8,49.4,1.1,3.2,34.4,4.2,5.6,74.9,1.9,6.6,8.5,5.3,1.3,0.6,2.7,25.5
16,CJ McCollum,NOP,62,34.6,22.1,8.6,18.8,46.0,2.9,7.6,38.8,1.9,2.7,68.2,0.9,3.5,4.3,5.1,1.1,0.4,2.0,20.0
17,James Harden,PHI,65,37.2,22.0,6.3,15.3,41.0,2.3,6.9,33.0,7.2,8.2,87.7,0.8,6.8,7.7,10.3,1.3,0.6,4.4,27.4
18,Darius Garland,CLE,68,35.7,21.7,8.0,17.3,46.2,2.6,6.7,38.3,3.2,3.5,89.2,0.6,2.7,3.3,8.6,1.3,0.1,3.6,21.6
19,Anthony Edwards,MIN,72,34.3,21.3,7.6,17.3,44.1,3.0,8.4,35.7,3.1,3.9,78.6,0.9,3.9,4.8,3.8,1.5,0.6,2.6,18.8
20,Dejounte Murray,SAS,68,34.8,21.1,8.4,18.3,46.2,1.4,4.3,32.7,2.9,3.6,79.4,1.2,7.1,8.3,9.2,2.0,0.3,2.6,27.8
21,Tyler Herro,MIA,66,32.6,20.7,7.6,17.0,44.7,2.7,6.7,39.9,2.9,3.3,86.8,0.5,4.5,5.0,4.0,0.7,0.1,2.6,18.0
22,Fred VanVleet,TOR,65,37.9,20.3,6.8,16.9,40.3,3.7,9.9,37.7,3.0,3.4,87.4,0.7,3.8,4.4,6.7,1.7,0.5,2.6,20.6
23,Miles Bridges,CHA,80,35.5,20.2,7.5,15.2,49.1,1.9,5.8,33.1,3.3,4.2,80.2,1.1,5.9,7.0,3.8,0.9,0.8,1.9,22.2
24,LaMelo Ball,CHA,75,32.3,20.1,7.2,16.7,42.9,2.9,7.5,38.9,2.8,3.2,87.2,1.4,5.2,6.7,7.6,1.6,0.4,3.3,23.2
25,Julius Randle,NYK,72,35.3,20.1,7.1,17.3,41.1,1.7,5.4,30.8,4.2,5.6,75.6,1.7,8.2,9.9,5.1,0.7,0.5,3.4,21.5
26,Khris Middleton,MIL,66,32.4,20.1,6.8,15.5,44.3,2.5,6.6,37.3,3.9,4.4,89.0,0.6,4.8,5.4,5.4,1.2,0.3,2.9,20.3
27,RJ Barrett,NYK,70,34.5,20.0,7.0,17.1,40.8,2.0,5.8,34.2,4.1,5.8,71.4,0.9,4.9,5.8,3.0,0.6,0.2,2.2,15.8
28,Terry Rozier,CHA,73,33.7,19.3,7.1,16.0,44.4,3.0,8.1,37.4,2.1,2.4,85.2,0.8,3.5,4.3,4.5,1.3,0.3,1.3,19.1
29,Domantas Sabonis,SAC,62,34.5,18.9,7.1,12.5,57.3,0.6,2.0,31.2,4.0,5.4,74.1,3.2,8.9,12.1,5.2,1.0,0.4,3.1,27.8
30,Jordan Poole,GSW,76,30.0,18.5,6.2,13.9,44.8,2.8,7.6,36.4,3.2,3.5,92.5,0.4,3.0,3.4,4.0,0.8,0.3,2.5,16.6
